team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,game_id,event_id,range_basic
1610612764,101162,35.9487,295.6453,0.0,674.99,22.29,21500139,2,24+ ft.
1610612764,101162,36.344,302.206,0.0,674.95,22.25,21500139,2,24+ ft.
1610612764,101162,36.564,308.9504,0.0,674.91,22.22,21500139,2,24+ ft.
1610612764,101162,36.8352,315.5681,0.0,674.87,22.18,21500139,2,24+ ft.
1610612764,101162,37.0725,322.288,0.0,674.83,22.15,21500139,2,24+ ft.
1610612764,101162,37.318,329.038,0.0,674.79,22.11,21500139,2,24+ ft.
1610612764,101162,37.3226,335.6017,0.0,674.75,22.07,21500139,2,24+ ft.
1610612764,101162,37.2914,342.2069,0.0,674.71,22.04,21500139,2,24+ ft.
1610612764,101162,37.2298,348.869,0.0,674.67,22.0,21500139,2,24+ ft.
1610612764,101162,37.14,355.6623,0.0,674.63,21.97,21500139,2,24+ ft.
1610612764,101162,37.095,362.7126,0.0,674.59,21.93,21500139,2,24+ ft.
1610612764,101162,37.0718,369.7838,0.0,674.55,21.89,21500139,2,24+ ft.
1610612764,101162,36.991,376.6686,0.0,674.51,21.86,21500139,2,24+ ft.
1610612764,101162,37.0007,383.4375,0.0,674.47,21.82,21500139,2,24+ ft.
1610612764,101162,37.0524,390.2073,0.0,674.43,21.79,21500139,2,24+ ft.
1610612764,101162,37.1182,396.9158,0.0,674.39,21.75,21500139,2,24+ ft.
1610612764,101162,37.1518,403.6456,0.0,674.35,21.72,21500139,2,24+ ft.
1610612764,101162,37.2623,410.4614,0.0,674.31,21.68,21500139,2,24+ ft.
1610612764,101162,37.2712,417.3835,0.0,674.27,21.64,21500139,2,24+ ft.
1610612764,101162,-37.3387,420.7056,0.0,674.23,21.61,21500139,2,24+ ft.
1610612764,101162,-37.4572,413.8463,0.0,674.19,21.57,21500139,2,24+ ft.
1610612764,101162,-37.5903,406.9944,0.0,674.15,21.54,21500139,2,24+ ft.
1610612764,101162,-37.7304,400.1537,0.0,674.11,21.5,21500139,2,24+ ft.
1610612764,101162,-37.9508,393.2939,0.0,674.07,21.46,21500139,2,24+ ft.
1610612764,101162,-38.1772,386.3831,0.0,674.03,21.43,21500139,2,24+ ft.
1610612764,101162,-38.4153,379.5095,0.0,673.99,21.39,21500139,2,24+ ft.
1610612764,101162,-38.647,372.5892,0.0,673.95,21.36,21500139,2,24+ ft.
1610612764,101162,-38.7434,365.7732,0.0,673.91,21.32,21500139,2,24+ ft.
1610612764,101162,-38.6835,358.8481,0.0,673.87,21.29,21500139,2,24+ ft.
1610612764,101162,-38.6664,351.9313,0.0,673.83,21.25,21500139,2,24+ ft.
1610612764,101162,-38.6499,344.9512,0.0,673.79,21.21,21500139,2,24+ ft.
1610612764,101162,-38.6633,338.0601,0.0,673.75,21.18,21500139,2,24+ ft.
1610612764,101162,-38.748,331.1655,0.0,673.71,21.14,21500139,2,24+ ft.
1610612764,101162,-39.0162,324.4118,0.0,673.67,21.11,21500139,2,24+ ft.
1610612764,101162,-39.2463,317.7455,0.0,673.63,21.07,21500139,2,24+ ft.
1610612764,101162,-39.3358,310.953,0.0,673.59,21.03,21500139,2,24+ ft.
1610612764,101162,-39.3815,304.1107,0.0,673.55,21.0,21500139,2,24+ ft.
1610612764,101162,-39.4028,297.3601,0.0,673.51,20.96,21500139,2,24+ ft.
1610612764,101162,-39.4391,290.614,0.0,673.47,20.93,21500139,2,24+ ft.
1610612764,101162,-39.5095,283.898,0.0,673.43,20.89,21500139,2,24+ ft.
1610612764,101162,-39.4769,277.2427,0.0,673.39,20.85,21500139,2,24+ ft.
1610612764,101162,-39.4248,270.7211,0.0,673.35,20.82,21500139,2,24+ ft.
1610612764,101162,-39.5192,264.2356,0.0,673.31,20.78,21500139,2,24+ ft.
1610612764,101162,-39.6303,257.7782,0.0,673.27,20.75,21500139,2,24+ ft.
1610612764,101162,-39.6727,251.3676,0.0,673.23,20.71,21500139,2,24+ ft.
1610612764,101162,-39.6542,245.0298,0.0,673.19,20.68,21500139,2,24+ ft.
1610612764,101162,-39.6316,238.6966,0.0,673.15,20.64,21500139,2,24+ ft.
1610612764,101162,-39.5848,232.4044,0.0,673.11,20.6,21500139,2,16-24 ft.
1610612764,101162,-39.3657,226.1094,0.0,673.07,20.57,21500139,2,16-24 ft.
1610612764,101162,-39.128,219.8237,0.0,673.03,20.53,21500139,2,16-24 ft.
1610612764,101162,-38.8896,213.7678,0.0,672.99,20.49,21500139,2,16-24 ft.
1610612764,101162,-38.6418,207.7058,0.0,672.95,20.46,21500139,2,16-24 ft.
1610612764,101162,-38.4634,201.4159,0.0,672.91,20.42,21500139,2,16-24 ft.
1610612764,101162,-38.3677,195.2794,0.0,672.87,20.39,21500139,2,16-24 ft.
1610612764,101162,-38.0336,189.2015,0.0,672.83,20.35,21500139,2,16-24 ft.
1610612764,101162,-37.648,183.1311,0.0,672.79,20.32,21500139,2,16-24 ft.
1610612764,101162,-36.9526,177.3551,0.0,672.75,20.28,21500139,2,16-24 ft.
1610612764,101162,-36.4786,171.098,0.0,672.71,20.24,21500139,2,16-24 ft.
1610612764,101162,-35.3871,165.3487,0.0,672.67,20.21,21500139,2,16-24 ft.
1610612764,101162,-34.2741,159.8011,0.0,672.63,20.17,21500139,2,16-24 ft.
1610612764,101162,-33.3531,153.8675,0.0,672.59,20.14,21500139,2,8-16 ft.
1610612764,101162,-32.1774,148.2232,0.0,672.55,20.1,21500139,2,8-16 ft.
1610612764,101162,-30.7559,143.1047,0.0,672.51,20.07,21500139,2,8-16 ft.
1610612764,101162,-29.2514,137.924,0.0,672.47,20.03,21500139,2,8-16 ft.
1610612764,101162,-27.6925,132.7987,0.0,672.43,19.99,21500139,2,8-16 ft.
1610612764,101162,-26.0565,127.7723,0.0,672.39,19.96,21500139,2,8-16 ft.
1610612764,101162,-24.3969,123.0987,0.0,672.35,19.92,21500139,2,8-16 ft.
1610612764,101162,-22.6929,118.2929,0.0,672.31,19.89,21500139,2,8-16 ft.
1610612764,101162,-20.7212,113.0604,0.0,672.27,19.85,21500139,2,8-16 ft.
1610612764,101162,-18.7868,108.0341,0.0,672.23,19.81,21500139,2,8-16 ft.
1610612764,101162,-16.9302,103.3422,0.0,672.19,19.78,21500139,2,8-16 ft.
1610612764,101162,-14.6629,98.6322,0.0,672.15,19.74,21500139,2,8-16 ft.
1610612764,101162,-12.1047,94.2433,0.0,672.11,19.71,21500139,2,8-16 ft.
1610612764,101162,-9.998,89.8549,0.0,672.07,19.67,21500139,2,8-16 ft.
1610612764,101162,-7.7771,85.5733,0.0,672.03,19.63,21500139,2,8-16 ft.
1610612764,101162,-5.1646,81.9788,0.0,671.99,19.6,21500139,2,8-16 ft.
1610612764,101162,-2.7703,78.1627,0.0,671.95,19.56,21500139,2,Less Than 8 ft.
1610612764,101162,-0.7576,74.4555,0.0,671.91,19.53,21500139,2,Less Than 8 ft.
1610612764,101162,1.6419,70.8109,0.0,671.87,19.49,21500139,2,Less Than 8 ft.
1610612764,101162,4.3009,67.5203,0.0,671.83,19.46,21500139,2,Less Than 8 ft.
1610612764,101162,6.7612,64.12,0.0,671.79,19.42,21500139,2,Less Than 8 ft.
1610612764,101162,9.133,60.8229,0.0,671.75,19.38,21500139,2,Less Than 8 ft.
1610612764,101162,11.9426,58.8179,0.0,671.71,19.35,21500139,2,Less Than 8 ft.
1610612764,101162,14.7338,56.6893,0.0,671.67,19.31,21500139,2,Less Than 8 ft.
1610612764,101162,17.8674,55.0851,0.0,671.63,19.28,21500139,2,Less Than 8 ft.
1610612764,101162,21.1954,53.4726,0.0,671.59,19.24,21500139,2,Less Than 8 ft.
1610612764,101162,24.009,51.9121,0.0,671.55,19.2,21500139,2,Less Than 8 ft.
1610612764,101162,27.0042,50.7467,0.0,671.51,19.17,21500139,2,Less Than 8 ft.
1610612764,101162,29.9967,49.4625,0.0,671.47,19.13,21500139,2,Less Than 8 ft.
1610612764,101162,32.9611,48.2621,0.0,671.43,19.1,21500139,2,Less Than 8 ft.
1610612764,101162,35.7008,47.1485,0.0,671.39,19.06,21500139,2,Less Than 8 ft.
1610612764,101162,38.5731,46.3567,0.0,671.35,19.02,21500139,2,Less Than 8 ft.
1610612764,101162,41.5522,45.3893,0.0,671.31,18.99,21500139,2,Less Than 8 ft.
1610612764,101162,44.3236,45.357,0.0,671.27,18.95,21500139,2,Less Than 8 ft.
1610612764,101162,46.6477,44.7012,0.0,671.23,18.92,21500139,2,Less Than 8 ft.
1610612764,101162,49.4406,44.428,0.0,671.19,18.88,21500139,2,Less Than 8 ft.
1610612764,101162,52.3806,44.2129,0.0,671.15,18.85,21500139,2,Less Than 8 ft.
1610612764,101162,55.2791,43.4402,0.0,671.11,18.81,21500139,2,Less Than 8 ft.
1610612764,101162,57.9984,43.3936,0.0,671.07,18.77,21500139,2,Less Than 8 ft.
1610612764,101162,60.2325,42.9362,0.0,671.03,18.74,21500139,2,Less Than 8 ft.
1610612764,101162,62.2646,42.2517,0.0,670.99,18.7,21500139,2,Less Than 8 ft.
1610612764,101162,64.3255,41.6477,0.0,670.95,18.67,21500139,2,Less Than 8 ft.
1610612764,101162,65.8542,41.1379,0.0,670.91,18.63,21500139,2,Less Than 8 ft.
1610612764,101162,67.9203,40.754,0.0,670.87,18.59,21500139,2,Less Than 8 ft.
1610612764,101162,69.9169,40.9032,0.0,670.83,18.56,21500139,2,Less Than 8 ft.
1610612764,101162,72.0719,40.8172,0.0,670.79,18.52,21500139,2,8-16 ft.
1610612764,101162,74.118,40.8212,0.0,670.75,18.49,21500139,2,8-16 ft.
1610612764,101162,76.3345,40.6384,0.0,670.71,18.45,21500139,2,8-16 ft.
