team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,game_id,event_id
1610612764,101162,47.26433,25.99918,0.0,685.35,21.23,21500139,2
1610612764,101162,47.94325,26.03518,0.0,685.31,21.2,21500139,2
1610612764,101162,48.62057,26.05646,0.0,685.27,21.16,21500139,2
1610612764,101162,49.30609,26.07965,0.0,685.23,21.12,21500139,2
1610612764,101162,49.98611,26.12295,0.0,685.19,21.08,21500139,2
1610612764,101162,50.66248,26.15569,0.0,685.15,21.05,21500139,2
1610612764,101162,51.33843,26.20048,0.0,685.11,21.01,21500139,2
1610612764,101162,51.98625,26.25094,0.0,685.07,20.97,21500139,2
1610612764,101162,52.59763,26.29664,0.0,685.03,20.93,21500139,2
1610612764,101162,53.20284,26.34377,0.0,684.99,20.9,21500139,2
1610612764,101162,53.80458,26.38472,0.0,684.95,20.86,21500139,2
1610612764,101162,54.39657,26.42648,0.0,684.91,20.82,21500139,2
1610612764,101162,54.9752,26.46732,0.0,684.87,20.78,21500139,2
1610612764,101162,55.53012,26.51458,0.0,684.83,20.75,21500139,2
1610612764,101162,56.07297,26.56607,0.0,684.79,20.71,21500139,2
1610612764,101162,56.59206,26.6103,0.0,684.75,20.67,21500139,2
1610612764,101162,57.10058,26.66979,0.0,684.71,20.63,21500139,2
1610612764,101162,57.59727,26.74027,0.0,684.67,20.6,21500139,2
1610612764,101162,58.08019,26.82425,0.0,684.63,20.56,21500139,2
1610612764,101162,58.55257,26.91244,0.0,684.59,20.52,21500139,2
1610612764,101162,59.01374,26.99704,0.0,684.55,20.48,21500139,2
1610612764,101162,59.45297,27.08294,0.0,684.51,20.45,21500139,2
1610612764,101162,59.89239,27.16824,0.0,684.47,20.41,21500139,2
1610612764,101162,60.33342,27.26415,0.0,684.43,20.37,21500139,2
1610612764,101162,60.7534,27.37882,0.0,684.39,20.33,21500139,2
1610612764,101162,61.16229,27.49756,0.0,684.35,20.3,21500139,2
1610612764,101162,61.56181,27.6158,0.0,684.31,20.26,21500139,2
1610612764,101162,61.95727,27.74051,0.0,684.27,20.22,21500139,2
